NameASCII,Pro,PosStr,Age,TJ,contractType,Cost,Espn_proj,PTS,PTS/G,VORP,Projected $
Corbin Burnes,ARI,SP,30.0,Cheating Raiders,arb3,80%,556.0,497.5,16.58,171.56100000000004,18.013905000000005
Vladimir Guerrero Jr.,TOR,1B,26.0,Bayou Shooters,arb3,80%,598.0,571.0,3.71,151.10000000000002,12.843500000000002
Yordan Alvarez,HOU,OF,28.0,Orlando Renegades,arb3,80%,585.0,565.0,4.11,145.10000000000002,12.333500000000003
Rafael Devers,BOS,3B,28.0,Bayou Shooters,arb3,80%,549.0,523.0,3.65,103.10000000000002,8.763500000000002
Mitch Keller,PIT,SP,29.0,Cheating Raiders,arb3,80%,468.0,420.1,14.14,94.16100000000006,9.886905000000006
Ryan McMahon,COL,3B,30.0,Midtown Jaguars,arb3,80%,434.0,439.0,3.0,19.100000000000023,1.623500000000002
Alex Verdugo,,OF,29.0,Bayou Shooters,arb3,80%,338.0,259.0,2.92,-160.89999999999998,0.0
Sean Murphy,ATL,C,30.0,Orlando Renegades,arb3,80%,323.0,236.0,2.76,-183.9,0.0
Dylan Cease,SDP,SP,29.0,Cheating Raiders,arb2,60%,570.0,522.45,17.01,196.51100000000008,20.633655000000008
Kyle Tucker,CHC,OF,28.0,Midtown Jaguars,arb2,60%,620.0,588.0,3.98,168.10000000000002,14.288500000000003
Freddy Peralta,MIL,SP,29.0,Country Strong,arb2,60%,478.0,459.5,15.62,133.56100000000004,14.023905000000003
Austin Riley,ATL,3B,28.0,Cheating Raiders,arb2,60%,553.0,533.0,3.51,113.10000000000002,9.613500000000002
Alec Bohm,PHI,3B,28.0,Dip City Thunder,arb2,60%,448.0,438.0,3.04,18.100000000000023,1.538500000000002
Bo Bichette,TOR,SS,27.0,Midtown Jaguars,arb2,60%,422.0,431.0,3.07,11.100000000000025,1.0
Jonathan India,KCR,2B,28.0,Bayou Shooters,arb2,60%,469.0,420.0,3.05,0.1000000000000227,1.0
Nathaniel Lowe,WSN,1B,29.0,Country Strong,arb2,60%,471.0,413.0,2.94,-6.899999999999977,1.0
Brandon Lowe,TBR,2B,30.0,Country Strong,arb2,60%,345.0,379.0,3.3,-40.89999999999998,1.0
Nico Hoerner,CHC,2B,28.0,Cheating Raiders,arb2,60%,448.0,376.0,3.01,-43.89999999999998,1.0
Ke'Bryan Hayes,PIT,3B,28.0,Young Bucks,arb2,$1.50,342.0,346.0,2.76,-73.89999999999998,0.0
Gavin Lux,CIN,2B,27.0,Bayou Shooters,arb2,60%,345.0,316.0,2.79,-103.89999999999998,0.0
Ian Anderson,ATL,SP,,Detroit Nittany Tide,arb2,60%,104.0,178.47,9.31,-147.46899999999997,0.0
Tarik Skubal,DET,SP,28.0,Cheating Raiders,arb1,40%,615.0,567.19,19.24,241.2510000000001,25.33135500000001
Logan Gilbert,SEA,SP,28.0,Cheating Raiders,arb1,40%,572.0,530.49,17.26,204.55100000000004,21.477855000000005
Julio Rodriguez,SEA,OF,24.0,Dip City Thunder,arb1,40%,564.0,545.0,3.7,125.10000000000002,10.633500000000003
Jazz Chisholm Jr.,NYY,OF/3B,27.0,Midtown Jaguars,arb1,40%,472.0,524.0,3.72,104.10000000000002,8.848500000000003
Tanner Houck,BOS,SP,29.0,Structure Fire,arb1,40%,467.0,410.37,12.32,84.43100000000004,8.865255000000003
Shane McClanahan,TBR,SP,,Structure Fire,arb1,40%,346.0,375.92,14.3,49.98100000000005,5.248005000000005
Seiya Suzuki,CHC,OF,30.0,Midtown Jaguars,arb1,40%,476.0,448.0,3.46,28.100000000000023,2.3885000000000023
Jeremy Pena,HOU,SS,27.0,Dip City Thunder,arb1,40%,477.0,439.0,2.9,19.100000000000023,1.623500000000002
Reid Detmers,LAA,SP,25.0,West Coast Spartans,arb1,40%,358.0,274.12,10.58,-51.81899999999996,0.0
Keibert Ruiz,WSN,C,26.0,Midtown Jaguars,arb1,40%,342.0,307.0,2.48,-112.89999999999998,0.0
Tylor Megill,NYM,SP,29.0,Dip City Thunder,arb1,40%,303.0,217.21,6.05,-121.18800000000002,0.0
Garrett Whitlock,BOS,SP,29.0,Structure Fire,arb1,40%,183.0,187.95,4.04,-150.44800000000004,0.0
Josiah Gray,WSN,SP,27.0,Structure Fire,arb1,40%,33.0,20.72,5.09,-305.21899999999994,0.0
